variant_id,is_identity,state_machine,timing,e_low,transaction_cost_bps,total_return,compound_annual_return,annual_vol,contract_sharpe,max_drawdown,calmar_ratio,benchmark_total_return,excess_return_vs_000852,information_ratio,max_drawdown_peak_date,max_drawdown_trough_date,crunch_strategy_return,crunch_000852_return,crunch_excess_return_vs_000852,average_exposure,exposure_lt_1_day_ratio,exposure_switch_count,cumulative_cost_drag_pp,return_period_count,nav_row_count
two_state_daily_elow0.3_cost0bps,False,two_state,daily,0.3,0.0,0.5399575100115892,0.08639552496415859,0.20184326807731834,0.4280327294892184,-0.34624154493704407,0.24952385474096586,0.25162190457765377,0.28833560543393544,0.1608094339173077,2021-11-26,2024-02-07,-0.19272722114458662,-0.1850421485653686,-0.007685072579218022,0.9094368340943684,0.1293759512937595,89,0.0,1313,1314
two_state_daily_elow0.5_cost0bps,False,two_state,daily,0.5,0.0,0.6173705370188258,0.09667050224393603,0.2066228474837301,0.4678596942264483,-0.37273436023610995,0.25935495236527095,0.25162190457765377,0.36574863244117206,0.2203030902549394,2021-11-26,2024-02-07,-0.25009768068939964,-0.1850421485653686,-0.06505553212403103,0.9353120243531202,0.1293759512937595,89,0.0,1313,1314
two_state_daily_elow0.7_cost0bps,False,two_state,daily,0.7,0.0,0.6943221744433896,0.10649762971726306,0.21360024616405177,0.49858383419403696,-0.40387374985797886,0.26369039769163677,0.25162190457765377,0.44270026986573585,0.27941382110436885,2023-06-16,2024-02-07,-0.3039039492834721,-0.1850421485653686,-0.11886180071810348,0.9611872146118722,0.1293759512937595,89,0.0,1313,1314
hysteresis_biweekly_elow0_cost20bps,False,hysteresis,biweekly,0.0,20.0,0.11579385508624163,0.02125134671562634,0.16495794757861074,0.12882887443479502,-0.2270468509750434,0.09359894939904827,0.25162190457765377,-0.13582804949141214,-0.17498254514608058,2023-06-16,2024-01-19,-0.12762146893504334,-0.1850421485653686,0.057420679630325266,0.5616438356164384,0.4383561643835616,16,3.2,1313,1314
hysteresis_biweekly_elow0.3_cost20bps,False,hysteresis,biweekly,0.3,20.0,0.30719521959577345,0.052758751482067545,0.17159613955183825,0.30745884854903405,-0.30190702188482565,0.17475165417714084,0.25162190457765377,0.055573315018119684,-0.03052484904210895,2023-06-16,2024-02-07,-0.2105271134759681,-0.1850421485653686,-0.025484964910599484,0.6931506849315068,0.4383561643835616,16,2.2399999999999998,1313,1314
hysteresis_biweekly_elow0.5_cost20bps,False,hysteresis,biweekly,0.5,20.0,0.4433975612316272,0.07297709765782101,0.1827349999324818,0.39936026313943745,-0.348619937680385,0.20933139436427317,0.25162190457765377,0.19177565665397345,0.0817360932355512,2023-06-16,2024-02-07,-0.26199185684996795,-0.1850421485653686,-0.07694970828459935,0.7808219178082192,0.4383561643835616,16,1.6,1313,1314
hysteresis_biweekly_elow0.7_cost20bps,False,hysteresis,biweekly,0.7,20.0,0.5855885065117843,0.09250123598086302,0.19825457293592777,0.4665780698574742,-0.3928720057832734,0.23544878387667822,0.25162190457765377,0.3339666019341305,0.19878239429896266,2023-06-16,2024-02-07,-0.3105753984975983,-0.1850421485653686,-0.1255332499322297,0.8684931506849314,0.4383561643835616,16,0.9600000000000001,1313,1314
hysteresis_daily_elow0_cost20bps,False,hysteresis,daily,0.0,20.0,0.24056334584888228,0.042240613502286584,0.17756987720884823,0.23788163942133847,-0.32476180760817874,0.13006644412217763,0.25162190457765377,-0.011058558728771484,-0.06883909572820157,2021-08-25,2024-06-07,0.0,-0.1850421485653686,0.1850421485653686,0.669710806697108,0.3302891933028919,33,6.6000000000000005,1313,1314
hysteresis_daily_elow0.3_cost20bps,False,hysteresis,daily,0.3,20.0,0.40470369817334007,0.06739576827019089,0.18253396575610964,0.369223163431626,-0.3277152903688517,0.20565341395677716,0.25162190457765377,0.1530817935956863,0.05012186888326793,2021-08-25,2024-08-27,-0.13102769159834293,-0.1850421485653686,0.05401445696702567,0.7687975646879756,0.3302891933028919,33,4.62,1313,1314
hysteresis_daily_elow0.5_cost20bps,False,hysteresis,daily,0.5,20.0,0.5178652085251532,0.08338676244130938,0.191215344209891,0.4360882375097387,-0.3325010846559112,0.25078643736636885,0.25162190457765377,0.2662433039474994,0.13965390843290942,2021-08-25,2024-08-27,-0.2094992434935945,-0.1850421485653686,-0.024457094928225898,0.834855403348554,0.3302891933028919,33,3.3000000000000003,1313,1314
