sec_code,index_name,rolling_window,start_date,end_date,return_period_count,compound_annualized_return,max_drawdown,calmar_ratio,sharpe_ratio
399006.SZ,创业板指,756_return_periods,2021-04-23,2024-06-07,756,-0.15901910949853848,-0.5648838701132912,-0.28150761229320664,-0.653385302968897
399006.SZ,创业板指,756_return_periods,2021-04-26,2024-06-11,756,-0.15567533877059858,-0.5648838701132912,-0.2755882173434636,-0.6397266044251566
399006.SZ,创业板指,756_return_periods,2021-04-27,2024-06-12,756,-0.15848645133941186,-0.5648838701132912,-0.28056466067552316,-0.6513209549142961
399006.SZ,创业板指,756_return_periods,2021-04-28,2024-06-13,756,-0.16471911691884866,-0.5648838701132912,-0.29159819501628387,-0.677877010681286
399006.SZ,创业板指,756_return_periods,2021-04-29,2024-06-14,756,-0.16267521580159294,-0.5648838701132912,-0.2879799272175489,-0.6693390527373971
399006.SZ,创业板指,756_return_periods,2021-04-30,2024-06-17,756,-0.16400590689339511,-0.5648838701132912,-0.2903356168773285,-0.6750218213590573
399006.SZ,创业板指,756_return_periods,2021-05-06,2024-06-18,756,-0.15618237938615942,-0.5648838701132912,-0.2764858188548312,-0.6438665680766475
399006.SZ,创业板指,756_return_periods,2021-05-07,2024-06-19,756,-0.1498194028276879,-0.5648838701132912,-0.2652215981979458,-0.6194223740038112
399006.SZ,创业板指,756_return_periods,2021-05-10,2024-06-20,756,-0.1550196781837604,-0.5648838701132912,-0.2744275175580251,-0.6406064080959143
399006.SZ,创业板指,756_return_periods,2021-05-11,2024-06-21,756,-0.1560751015963242,-0.5648838701132912,-0.2762959076261503,-0.6449479763975927
399006.SZ,创业板指,756_return_periods,2021-05-12,2024-06-24,756,-0.16370250421855626,-0.5648838701132912,-0.2897985105960357,-0.6764997356777522
399006.SZ,创业板指,756_return_periods,2021-05-13,2024-06-25,756,-0.16723083637414393,-0.5648838701132912,-0.29604463009468596,-0.6905224691330976
399006.SZ,创业板指,756_return_periods,2021-05-14,2024-06-26,756,-0.17064626456152976,-0.5648838701132911,-0.3020908784796874,-0.7058918226506602
399006.SZ,创业板指,756_return_periods,2021-05-17,2024-06-27,756,-0.18208603012156632,-0.5648838701132912,-0.32234241364521127,-0.7542486894335959
399006.SZ,创业板指,756_return_periods,2021-05-18,2024-06-28,756,-0.1832801998102801,-0.5648838701132912,-0.32445642282815057,-0.7590300864037781
399006.SZ,创业板指,756_return_periods,2021-05-19,2024-07-01,756,-0.1855551720612142,-0.5648838701132912,-0.32848375016266596,-0.7686162299432742
399006.SZ,创业板指,756_return_periods,2021-05-20,2024-07-02,756,-0.19090785395677234,-0.5648838701132912,-0.3379594710652377,-0.7907976489366417
399006.SZ,创业板指,756_return_periods,2021-05-21,2024-07-03,756,-0.18908537581089968,-0.5648838701132912,-0.33473318289824305,-0.7834164130958651
399006.SZ,创业板指,756_return_periods,2021-05-24,2024-07-04,756,-0.19346763966814207,-0.5648838701132912,-0.3424909966527117,-0.8016539889222242
399006.SZ,创业板指,756_return_periods,2021-05-25,2024-07-05,756,-0.19948584271160685,-0.5648838701132912,-0.35314487324907795,-0.8284643535370251
399006.SZ,创业板指,756_return_periods,2021-05-26,2024-07-08,756,-0.20131001985854735,-0.5648838701132912,-0.3563741691158101,-0.8356483296705943
399006.SZ,创业板指,756_return_periods,2021-05-27,2024-07-09,756,-0.19994354702736294,-0.5648838701132912,-0.35395513592424394,-0.829666100922104
399006.SZ,创业板指,756_return_periods,2021-05-28,2024-07-10,756,-0.2006165554520356,-0.5648838701132912,-0.3551465461596569,-0.8324759756112337
399006.SZ,创业板指,756_return_periods,2021-05-31,2024-07-11,756,-0.2014389372508757,-0.5648838701132912,-0.3566023883997179,-0.8362367512147001
399006.SZ,创业板指,756_return_periods,2021-06-01,2024-07-12,756,-0.20095640086861133,-0.5648838701132912,-0.3557481661289217,-0.8342423731160175
399006.SZ,创业板指,756_return_periods,2021-06-02,2024-07-15,756,-0.19798471119059136,-0.5648838701132912,-0.3504874570960651,-0.8224809761332506
399006.SZ,创业板指,756_return_periods,2021-06-03,2024-07-16,756,-0.19082972880178184,-0.5648838701132912,-0.337821168027881,-0.7925921028967906
399006.SZ,创业板指,756_return_periods,2021-06-04,2024-07-17,756,-0.194221967443847,-0.5648838701132912,-0.34382636453204884,-0.8071025928372124
399006.SZ,创业板指,756_return_periods,2021-06-07,2024-07-18,756,-0.18967150618888562,-0.5648838701132912,-0.3357707950677468,-0.7878246869772324
399006.SZ,创业板指,756_return_periods,2021-06-08,2024-07-19,756,-0.18679505655151862,-0.5648838701132912,-0.33067868713272985,-0.7758803096421659
399006.SZ,创业板指,756_return_periods,2021-06-09,2024-07-22,756,-0.18696237999316268,-0.5648838701132912,-0.3309748956996526,-0.776575595239902
399006.SZ,创业板指,756_return_periods,2021-06-10,2024-07-23,756,-0.20170581612824978,-0.5648838701132912,-0.35707483750208047,-0.8371987455533741
399006.SZ,创业板指,756_return_periods,2021-06-11,2024-07-24,756,-0.2060333679166938,-0.5648838701132912,-0.36473579582892396,-0.8548911246710745
399006.SZ,创业板指,756_return_periods,2021-06-15,2024-07-25,756,-0.20413838425166242,-0.5648838701132912,-0.3613811529274523,-0.8472585980247874
399006.SZ,创业板指,756_return_periods,2021-06-16,2024-07-26,756,-0.19025890076872742,-0.5648838701132912,-0.33681064522265386,-0.7932854412436658
399006.SZ,创业板指,756_return_periods,2021-06-17,2024-07-29,756,-0.19949144732399493,-0.5648838701132912,-0.35315479495632546,-0.8323836798925599
399006.SZ,创业板指,756_return_periods,2021-06-18,2024-07-30,756,-0.20445175268061166,-0.5648838701132912,-0.36193590133775194,-0.8537585658459756
399006.SZ,创业板指,756_return_periods,2021-06-21,2024-07-31,756,-0.19783902816811783,-0.5648838701132912,-0.35022955803011313,-0.823333367135544
399006.SZ,创业板指,756_return_periods,2021-06-22,2024-08-01,756,-0.2022928986392668,-0.5648838701132912,-0.35811413520923446,-0.8415413383428153
399006.SZ,创业板指,756_return_periods,2021-06-23,2024-08-02,756,-0.20968883115874326,-0.5648838701132912,-0.37120697235821015,-0.8720455761796763
399006.SZ,创业板指,756_return_periods,2021-06-24,2024-08-05,756,-0.21154462070336888,-0.5648838701132911,-0.37449223087382943,-0.8792476764657292
399006.SZ,创业板指,756_return_periods,2021-06-25,2024-08-06,756,-0.21371742433785423,-0.5648838701132912,-0.37833869162345135,-0.8890351104589227
399006.SZ,创业板指,756_return_periods,2021-06-28,2024-08-07,756,-0.2198795536436824,-0.5648838701132912,-0.38924735733662225,-0.9157296485142489
399006.SZ,创业板指,756_return_periods,2021-06-29,2024-08-08,756,-0.22079354568298704,-0.5648838701132912,-0.3908653749286653,-0.9194835450284516
399006.SZ,创业板指,756_return_periods,2021-06-30,2024-08-09,756,-0.22867719179960222,-0.5648838701132912,-0.4048215994443946,-0.9533962216872996
399006.SZ,创业板指,756_return_periods,2021-07-01,2024-08-12,756,-0.22758179474581763,-0.5648838701132912,-0.40288244502392073,-0.9489049829434
399006.SZ,创业板指,756_return_periods,2021-07-02,2024-08-13,756,-0.21590034505690137,-0.5648838701132912,-0.3822030623986504,-0.9030094385623922
399006.SZ,创业板指,756_return_periods,2021-07-05,2024-08-14,756,-0.22105165253638426,-0.5648838701132911,-0.3913222951330703,-0.9241817180599595
399006.SZ,创业板指,756_return_periods,2021-07-06,2024-08-15,756,-0.21495809625322737,-0.5648838701132912,-0.38053502255271704,-0.8993713694845823
399006.SZ,创业板指,756_return_periods,2021-07-07,2024-08-16,756,-0.22429252414161582,-0.5648838701132912,-0.3970595303006837,-0.9421191120767911
399006.SZ,创业板指,756_return_periods,2021-07-08,2024-08-19,756,-0.22640912083258113,-0.5648838701132912,-0.4008064892827853,-0.951177487099514
399006.SZ,创业板指,756_return_periods,2021-07-09,2024-08-20,756,-0.22810717416206883,-0.5648838701132912,-0.40381251126239526,-0.9579710287263684
399006.SZ,创业板指,756_return_periods,2021-07-12,2024-08-21,756,-0.23888564523337386,-0.5648838701132912,-0.4228933730847435,-1.0073921133121406
399006.SZ,创业板指,756_return_periods,2021-07-13,2024-08-22,756,-0.23940271602301366,-0.5659342116574186,-0.42302216598973374,-1.0095042152425289
399006.SZ,创业板指,756_return_periods,2021-07-14,2024-08-23,756,-0.23744791183156044,-0.5659342116574186,-0.41956804685152455,-1.0013839938826568
399006.SZ,创业板指,756_return_periods,2021-07-15,2024-08-26,756,-0.24122890742447034,-0.5663052341080096,-0.42596976488206273,-1.0180052472962786
399006.SZ,创业板指,756_return_periods,2021-07-16,2024-08-27,756,-0.2360038836854218,-0.5703929921998001,-0.4137566325547583,-0.9981790681378564
399006.SZ,创业板指,756_return_periods,2021-07-19,2024-08-28,756,-0.23713479608973087,-0.5703929921998001,-0.4157393224190702,-1.0030596624132495
399006.SZ,创业板指,756_return_periods,2021-07-20,2024-08-29,756,-0.23653728529047569,-0.5703929921998001,-0.414691780097502,-1.0004436845737985
399006.SZ,创业板指,756_return_periods,2021-07-21,2024-08-30,756,-0.23714392765662917,-0.5703929921998002,-0.41575533167413314,-1.0034133138845436
399006.SZ,创业板指,756_return_periods,2021-07-22,2024-09-02,756,-0.2431016744830593,-0.5703929921998001,-0.42620031768886885,-1.0264976198737046
399006.SZ,创业板指,756_return_periods,2021-07-23,2024-09-03,756,-0.2345294181851456,-0.5703929921998002,-0.41117163322896055,-0.9909451817220044
399006.SZ,创业板指,756_return_periods,2021-07-26,2024-09-04,756,-0.227413349936046,-0.5703929921998002,-0.3986959044833189,-0.9630499722149585
399006.SZ,创业板指,756_return_periods,2021-07-27,2024-09-05,756,-0.21485269679783703,-0.5703929921998002,-0.37667485354128843,-0.9141339549094506
399006.SZ,创业板指,756_return_periods,2021-07-28,2024-09-06,756,-0.22348360129176437,-0.5703929921998001,-0.39180635868240365,-0.950934143900273
399006.SZ,创业板指,756_return_periods,2021-07-29,2024-09-09,756,-0.23662825512441432,-0.5703929921998002,-0.41485126633801095,-1.0158962100683335
399006.SZ,创业板指,756_return_periods,2021-07-30,2024-09-10,756,-0.2350296801724311,-0.5703929921998002,-0.41204868114877485,-1.0090937406743015
399006.SZ,创业板指,756_return_periods,2021-08-02,2024-09-11,756,-0.2359205821357221,-0.5703929921998001,-0.4136105901754884,-1.013242372075711
399006.SZ,创业板指,756_return_periods,2021-08-03,2024-09-12,756,-0.23580866550814228,-0.5703929921998002,-0.4134143804935492,-1.0127710877308023
399006.SZ,创业板指,756_return_periods,2021-08-04,2024-09-13,756,-0.24471953459054285,-0.5703929921998002,-0.42903671317339964,-1.0528745704917881
399006.SZ,创业板指,756_return_periods,2021-08-05,2024-09-18,756,-0.24282208588231435,-0.5666683453643302,-0.4285082939054869,-1.044897165232645
399006.SZ,创业板指,756_return_periods,2021-08-06,2024-09-19,756,-0.2376840781389683,-0.5633589588327306,-0.42190520699527945,-1.0228728596097432
399006.SZ,创业板指,756_return_periods,2021-08-09,2024-09-20,756,-0.23681293391061908,-0.5633589588327306,-0.4203588674639898,-1.0192763087575722
399006.SZ,创业板指,756_return_periods,2021-08-10,2024-09-23,756,-0.23869727136822327,-0.5634268477509428,-0.42365263977221235,-1.0274203041895422
399006.SZ,创业板指,756_return_periods,2021-08-11,2024-09-24,756,-0.2225173686999159,-0.5634268477509428,-0.3949356861288184,-0.9487034055011202
399006.SZ,创业板指,756_return_periods,2021-08-12,2024-09-25,756,-0.21445722184063554,-0.5634268477509428,-0.38063010787770307,-0.9140607437933651
399006.SZ,创业板指,756_return_periods,2021-08-13,2024-09-26,756,-0.19977602943273842,-0.5634268477509428,-0.35457314508563753,-0.846626451877414
