variant_id,family,description,cost_bps,cumulative_cost_drag_pp,long_total_return,long_cagr,long_daily_sharpe,long_contract_sharpe,long_annual_vol,long_max_drawdown,long_calmar,long_avg_exposure,long_frac_days_exposure_lt1,long_exposure_switch_count,long_return_period_count,near_total_return,near_cagr,near_daily_sharpe,near_contract_sharpe,near_annual_vol,near_max_drawdown,near_calmar,near_avg_exposure,near_frac_days_exposure_lt1,near_exposure_switch_count,near_return_period_count
ddderisk_lb20_thr-0.1_elow0_cost0bps,dd_derisk,trailing 20日累计收益<-0.1降仓到0,0.0,0.0,1.1293632053381946,0.15611211208021136,0.7947525079999941,0.7418393863421882,0.2104392338211624,-0.31442304822075295,0.4965033987286033,0.9543031226199543,0.0456968773800457,21,1313,1.262513669753825,0.44210935662430795,1.7177536261318316,1.9351996722189597,0.22845671326379036,-0.2195150462848997,2.014027576271524,0.9181494661921709,0.08185053380782918,12,562
csi1000dd_thr-0.05_elow0.5_cost0bps,market_state,市场状态 csi1000_drawdown_20d(lagged)<-0.05 降仓到0.5,0.0,0.0,0.8771619875534402,0.1284760312967037,0.7339232441745996,0.6793654949808284,0.18911179953337087,-0.2954914273756075,0.4347876770495754,0.8678598629093679,0.26428027418126426,93,1313,0.9009391484435247,0.33379458644098836,1.4404463172446695,1.5431310215570546,0.2163099450260432,-0.20792434994126063,1.6053655405693779,0.8487544483985765,0.302491103202847,50,562
csi1000dd_thr-0.05_elow0_cost0bps,market_state,市场状态 csi1000_drawdown_20d(lagged)<-0.05 降仓到0,0.0,0.0,0.6252896616703942,0.09769904453137612,0.6241090271061033,0.5630320309901669,0.17352306645779875,-0.2950348866502649,0.33114404076284315,0.7357197258187357,0.26428027418126426,93,1313,0.7602416289283465,0.28858853869970646,1.3735709658710087,1.4494648748557295,0.1991000566525841,-0.16125764131313614,1.7896115579373657,0.697508896797153,0.302491103202847,50,562
csi1000dd_thr-0.1_elow0.5_cost0bps,market_state,市场状态 csi1000_drawdown_20d(lagged)<-0.1 降仓到0.5,0.0,0.0,1.0849713014670042,0.15144681983098374,0.7604052987002594,0.7002734049339496,0.21626813008166193,-0.3072209720018356,0.4929572966460078,0.9729626808834729,0.05407463823305408,38,1313,1.0791286248059864,0.3884733495455037,1.4769112792742798,1.6038296220607382,0.24221609590073526,-0.24627686865020282,1.5773846389823496,0.9653024911032029,0.0693950177935943,20,562
csi1000dd_thr-0.1_elow0_cost0bps,market_state,市场状态 csi1000_drawdown_20d(lagged)<-0.1 降仓到0,0.0,0.0,1.043766622335255,0.14704409326697232,0.7543111794837231,0.694911718039709,0.21160111342167617,-0.2932074598882619,0.5015018830796774,0.945925361766946,0.05407463823305408,38,1313,1.124474927863925,0.4019714062932427,1.5539170987326978,1.7076865552367475,0.23538945426522656,-0.22969891602575165,1.7499926131483245,0.9306049822064056,0.0693950177935943,20,562
smallcapdown_elow0.5_cost0bps,market_state,市场状态 is_smallcap_trend_down(lagged) 降仓到0.5,0.0,0.0,0.9055571051338382,0.13173238625909023,0.704367897515081,0.6399257985051021,0.20585572040824657,-0.25663035903200804,0.5133156761186621,0.9276466108149276,0.1447067783701447,65,1313,0.8716475112240483,0.3245394001756061,1.3306478301952478,1.4018394842611197,0.23150967269741587,-0.2195480399103943,1.4782158852707712,0.9137010676156584,0.17259786476868327,34,562
smallcapdown_elow0_cost0bps,market_state,市场状态 is_smallcap_trend_down(lagged) 降仓到0,0.0,0.0,0.6943041183848062,0.10649536655791758,0.611801787967828,0.5397723594409738,0.19729681354601347,-0.20382582002084138,0.5224822181361927,0.8552932216298553,0.1447067783701447,65,1313,0.7151910567629496,0.2736948507133843,1.20705232485047,1.239974720196623,0.22072615373157323,-0.2038258200208417,1.3427879288570912,0.8274021352313167,0.17259786476868327,34,562
baseline_cost10bps,baseline,exposure==1 全程满仓（恒等基线）,10.0,0.0,1.104471485377418,0.15350594766603454,0.7369151400001444,0.6682084282261901,0.22972764362390297,-0.3742978588042636,0.4101170873817619,1.0,0.0,0,1313,1.0197099097144902,0.3705382207457959,1.3370331802474726,1.4167554014786023,0.26154000920630494,-0.34668826083241244,1.0687936760711734,1.0,0.0,0,562
voltarget_w20_t0.15_cost10bps,vol_target,vol-targeting：20日lagged年化vol，目标0.15，exposure<=1,10.0,2.914522723288703,0.28699717895490084,0.04961707341206356,0.38138774683740345,0.30813248994846326,0.16102512727678367,-0.2746603508569859,0.1806488386738386,0.7541006916450598,0.7631378522467631,1027,1313,0.37618777179610197,0.15393907777115334,0.9411359238931609,0.9216645006730613,0.1670229000452298,-0.22139531366493426,0.6953131718231803,0.6952420580018549,0.9128113879003559,525,562
voltarget_w20_t0.25_cost10bps,vol_target,vol-targeting：20日lagged年化vol，目标0.25，exposure<=1,10.0,0.9539255597612903,0.6240193889669268,0.09753433357876262,0.5452504170125735,0.46002466891940225,0.2120197897383867,-0.3480959177178844,0.2801938448982607,0.955308674494065,0.24828636709824828,349,1313,0.6362958806182404,0.24708295479579845,1.0671109427314436,1.0633252490325138,0.2323681818151233,-0.31902048182381126,0.774504989094266,0.9275022441014841,0.32562277580071175,192,562
